Time,Heart Rate
00:00:01,88
00:00:04,88
00:00:07,88
00:00:10,88
00:00:13,88
00:00:16,88
00:00:19,88
00:00:22,88
00:00:25,88
00:00:27,87
00:00:30,87
00:00:33,87
00:00:36,87
00:00:39,87
00:00:42,87
00:00:43,86
00:00:46,87
00:00:48,86
00:00:49,86
00:00:52,85
00:00:55,85
00:00:57,84
00:01:00,83
00:01:03,83
00:01:06,83
00:01:09,83
00:01:12,83
00:01:15,84
00:01:18,84
00:01:21,84
00:01:23,83
00:01:26,83
00:01:27,82
00:01:30,82
00:01:32,83
00:01:35,83
00:01:36,84
00:01:39,84
00:01:41,85
00:01:43,86
00:01:46,87
00:01:49,87
00:01:52,87
00:01:55,87
00:01:58,87
00:01:59,87
00:02:01,86
00:02:04,86
00:02:06,85
00:02:09,85
00:02:12,85
00:02:13,86
00:02:16,86
00:02:19,86
00:02:22,86
00:02:24,85
00:02:27,85
00:02:29,84
00:02:32,84
00:02:33,83
00:02:36,83
00:02:39,83
00:02:40,82
00:02:43,82
00:02:45,83
00:02:48,84
00:02:51,84
00:02:52,85
00:02:53,84
00:02:55,83
00:02:58,82
00:02:59,83
00:03:00,83
00:03:02,84
00:03:04,85
00:03:07,85
00:03:08,84
00:03:11,84
00:03:14,85
00:03:17,85
00:03:20,85
00:03:23,85
00:03:26,85
00:03:27,86
00:03:30,86
00:03:33,86
00:03:36,86
00:03:39,86
00:03:41,85
00:03:44,84
00:03:47,85
00:03:50,85
00:03:53,85
00:03:56,85
00:03:59,85
00:04:02,86
00:04:05,86
00:04:08,86
00:04:11,86
00:04:12,86
00:04:15,87
00:04:18,87
00:04:21,87
00:04:24,87
00:04:27,87
00:04:28,86
00:04:31,86
00:04:33,87
00:04:36,87
00:04:38,88
00:04:41,89
00:04:44,89
00:04:47,89
00:04:48,88
00:04:51,88
00:04:54,88
00:04:57,88
00:04:59,87
00:05:02,87
00:05:05,87
00:05:08,87
00:05:11,86
00:05:14,86
00:05:15,85
00:05:18,85
00:05:21,85
00:05:22,85
00:05:25,85
00:05:28,84
00:05:30,85
00:05:33,85
00:05:36,85
00:05:39,85
00:05:40,84
00:05:43,83
00:05:46,83
00:05:49,83
00:05:50,84
00:05:53,84
00:05:56,84
00:05:59,84
00:06:02,84
00:06:03,83
00:06:04,84
00:06:07,85
00:06:10,85
00:06:13,85
00:06:16,85
00:06:19,85
00:06:22,85
00:06:25,85
00:06:28,85
00:06:31,85
00:06:32,85
00:06:35,85
00:06:38,84
00:06:41,84
00:06:42,85
00:06:45,85
00:06:46,84
00:06:49,84
00:06:52,85
00:06:55,86
00:06:58,86
00:07:01,86
00:07:02,85
00:07:05,85
00:07:08,85
00:07:09,86
00:07:12,86
00:07:13,87
00:07:16,87
00:07:17,88
00:07:20,88
00:07:22,87
00:07:25,87
00:07:26,86
00:07:29,86
00:07:32,86
00:07:35,85
00:07:36,85
00:07:39,85
00:07:42,85
00:07:44,86
00:07:47,86
00:07:48,87
00:07:51,87
00:07:54,87
00:07:57,87
00:08:00,87
00:08:01,86
00:08:04,86
00:08:05,85
00:08:07,84
00:08:10,83
00:08:13,83
00:08:16,83
00:08:17,84
00:08:20,85
00:08:23,85
00:08:24,84
00:08:26,83
00:08:29,83
00:08:32,84
00:08:35,84
00:08:38,84
00:08:41,84
00:08:42,84
00:08:45,84
00:08:48,84
00:08:51,84
00:08:52,85
00:08:55,85
00:08:58,85
00:09:01,85
00:09:02,86
00:09:05,86
00:09:08,86
00:09:11,86
00:09:14,86
00:09:17,86
00:09:20,86
00:09:22,85
00:09:25,84
00:09:28,83
00:09:31,83
00:09:34,82
00:09:36,83
00:09:39,83
00:09:40,84
00:09:43,84
00:09:44,85
00:09:47,86
00:09:50,86
00:09:51,86
00:09:54,86
00:09:57,86
00:10:00,86
00:10:01,87
00:10:04,87
00:10:07,86
00:10:10,86
00:10:13,86
00:10:16,85
00:10:19,84
00:10:22,84
00:10:23,83
00:10:26,83
00:10:29,82
00:10:32,81
00:10:34,82
00:10:37,82
00:10:39,83
00:10:42,83
00:10:45,83
00:10:48,84
00:10:51,84
00:10:54,84
00:10:57,84
00:10:59,83
00:11:02,83
00:11:03,83
00:11:06,83
00:11:09,83
00:11:12,83
00:11:15,83
00:11:16,82
00:11:19,82
00:11:22,82
00:11:25,83
00:11:28,83
00:11:31,83
00:11:34,83
00:11:37,83
00:11:40,83
00:11:43,83
00:11:46,83
00:11:49,83
00:11:52,83
00:11:55,83
00:11:58,84
00:11:59,83
00:12:02,83
00:12:05,83
00:12:08,83
00:12:11,83
00:12:13,84
00:12:16,84
00:12:17,84
00:12:20,83
00:12:23,83
00:12:26,84
