Time,Heart Rate
03:47:00,70
03:47:03,70
03:47:06,70
03:47:08,74
03:47:09,76
03:47:10,80
03:47:11,81
03:47:13,81
03:47:16,81
03:47:19,81
03:47:22,81
03:47:25,81
03:47:28,81
03:47:29,81
03:47:32,81
03:47:35,81
03:47:36,79
03:47:39,79
03:47:40,80
03:47:41,83
03:47:42,85
03:47:43,88
03:47:44,89
03:47:45,91
03:47:46,93
03:47:47,96
03:47:48,98
03:47:49,100
03:47:50,102
03:47:51,104
03:47:52,103
03:47:53,102
03:47:54,101
03:47:56,100
03:47:59,99
03:48:00,98
03:48:01,97
03:48:02,95
03:48:03,94
03:48:04,92
03:48:05,91
03:48:06,90
03:48:07,89
03:48:10,89
03:48:13,88
03:48:14,87
03:48:17,86
03:48:18,85
03:48:19,84
03:48:21,83
03:48:22,82
03:48:24,81
03:48:27,82
03:48:30,82
03:48:33,82
03:48:34,81
03:48:37,81
03:48:39,82
03:48:42,82
03:48:45,82
03:48:48,82
03:48:50,83
03:48:53,83
03:48:55,84
03:48:58,85
03:48:59,86
03:49:00,87
03:49:02,88
03:49:04,89
03:49:06,90
03:49:07,91
03:49:08,92
03:49:09,93
03:49:12,93
03:49:13,94
03:49:14,94
03:49:15,95
03:49:18,95
03:49:21,95
03:49:24,95
03:49:27,95
03:49:30,95
03:49:33,95
03:49:36,94
03:49:37,92
03:49:40,93
03:49:41,94
03:49:42,93
03:49:45,93
03:49:46,92
03:49:48,91
03:49:49,90
03:49:50,89
03:49:51,88
03:49:54,88
03:49:56,89
03:49:59,90
03:50:02,90
03:50:04,92
03:50:06,91
03:50:08,90
03:50:09,89
03:50:10,88
03:50:11,87
03:50:12,86
03:50:15,87
03:50:16,91
03:50:17,93
03:50:20,94
03:50:23,94
03:50:26,93
03:50:28,92
03:50:30,91
03:50:33,91
03:50:36,92
03:50:37,98
03:50:40,98
03:50:43,98
03:50:46,98
03:50:49,97
03:50:50,98
03:50:51,99
03:50:52,100
03:50:53,102
03:50:54,103
03:50:56,102
03:50:59,101
03:51:01,102
03:51:02,103
03:51:03,105
03:51:06,108
03:51:07,109
03:51:08,111
03:51:10,110
03:51:12,109
03:51:14,108
03:51:17,108
03:51:20,109
03:51:22,109
03:51:25,110
03:51:26,110
03:51:28,111
03:51:31,111
03:51:34,111
03:51:37,110
03:51:39,109
03:51:41,110
03:51:42,111
03:51:44,113
03:51:45,114
03:51:47,115
03:51:48,111
03:51:49,108
03:51:50,108
03:51:51,107
03:51:52,105
03:51:53,104
03:51:55,103
03:51:57,102
03:52:00,102
03:52:02,101
03:52:03,102
03:52:04,103
03:52:05,104
03:52:06,106
03:52:07,107
03:52:08,108
03:52:10,109
03:52:13,109
03:52:15,110
03:52:17,111
03:52:19,112
03:52:20,111
03:52:23,110
03:52:25,109
03:52:28,109
03:52:31,109
03:52:34,109
03:52:35,109
03:52:38,109
03:52:40,108
03:52:41,108
03:52:42,107
03:52:43,106
03:52:45,106
03:52:46,105
03:52:49,105
03:52:50,106
03:52:52,107
03:52:55,108
03:52:57,109
03:53:00,108
03:53:01,107
03:53:03,106
03:53:06,106
03:53:09,105
03:53:12,105
03:53:15,105
03:53:18,105
03:53:21,105
03:53:24,105
03:53:27,105
03:53:30,105
03:53:33,105
03:53:36,105
03:53:39,106
03:53:40,107
03:53:41,108
03:53:42,107
03:53:44,106
03:53:45,106
03:53:47,105
03:53:50,105
03:53:52,104
03:53:55,104
03:53:58,104
03:53:59,103
03:54:00,102
03:54:01,101
03:54:02,99
03:54:03,98
03:54:06,98
03:54:09,98
03:54:12,98
03:54:15,98
03:54:16,102
03:54:17,105
03:54:18,107
03:54:21,107
03:54:24,107
03:54:26,108
03:54:28,109
03:54:29,110
03:54:30,111
03:54:32,112
03:54:33,113
03:54:34,114
03:54:35,114
03:54:37,115
03:54:38,114
03:54:40,115
03:54:42,114
03:54:43,113
03:54:45,112
03:54:46,110
03:54:47,109
03:54:48,108
03:54:51,108
03:54:52,107
03:54:54,106
03:54:57,107
03:54:59,107
03:55:02,107
03:55:05,107
03:55:06,106
03:55:09,105
03:55:12,104
03:55:14,103
03:55:17,102
03:55:18,101
03:55:19,100
03:55:21,101
03:55:23,100
03:55:25,99
03:55:26,98
03:55:29,98
03:55:31,97
03:55:32,98
03:55:35,98
03:55:36,97
03:55:38,98
03:55:41,98
03:55:43,99
03:55:45,100
03:55:48,100
03:55:50,99
03:55:52,98
03:55:54,97
03:55:55,98
03:55:57,99
03:55:58,98
03:55:59,97
03:56:02,97
03:56:05,97
03:56:06,95
03:56:09,95
03:56:12,95
03:56:15,95
03:56:18,95
03:56:21,95
03:56:24,95
03:56:25,95
03:56:27,95
03:56:28,96
03:56:30,97
03:56:31,96
03:56:32,97
03:56:33,96
03:56:34,95
03:56:35,94
03:56:38,94
03:56:39,93
03:56:42,93
03:56:45,93
03:56:48,93
03:56:49,92
03:56:52,92
03:56:55,92
03:56:56,93
03:56:58,94
03:57:00,95
03:57:02,96
03:57:05,97
03:57:06,96
03:57:08,95
03:57:09,94
03:57:10,94
03:57:13,94
03:57:14,94
03:57:17,94
03:57:19,93
03:57:22,93
03:57:23,94
03:57:26,94
03:57:27,93
03:57:29,92
03:57:31,91
03:57:32,90
03:57:34,89
03:57:37,89
03:57:40,89
03:57:43,89
03:57:46,89
03:57:47,89
03:57:48,89
03:57:50,88
03:57:51,89
03:57:53,90
03:57:54,91
03:57:55,91
03:57:56,92
03:57:58,93
03:58:00,94
03:58:03,94
03:58:05,93
03:58:06,93
03:58:09,93
03:58:12,93
03:58:13,94
03:58:16,93
03:58:18,92
03:58:19,93
03:58:21,94
03:58:23,95
03:58:25,96
03:58:28,96
03:58:31,97
03:58:33,96
03:58:34,97
03:58:37,97
03:58:38,96
03:58:41,95
03:58:44,95
03:58:47,95
03:58:50,95
03:58:52,96
03:58:53,97
03:58:55,98
03:58:58,98
03:59:01,98
03:59:04,98
03:59:07,98
