Time,Heart Rate
15:59:21,70
15:59:24,70
15:59:32,70
15:59:35,70
15:59:38,70
15:59:41,73
15:59:42,88
15:59:43,90
15:59:44,92
15:59:45,94
15:59:46,96
15:59:47,99
15:59:48,101
15:59:50,100
15:59:51,98
15:59:52,96
15:59:53,93
15:59:54,91
15:59:55,92
15:59:56,93
15:59:57,94
15:59:59,95
16:00:02,94
16:00:05,94
16:00:08,94
16:00:09,95
16:00:10,94
16:00:11,93
16:00:12,94
16:00:15,94
16:00:18,94
16:00:19,95
16:00:22,95
16:00:24,96
16:00:25,97
16:00:28,97
16:00:31,98
16:00:34,97
16:00:37,97
16:00:38,96
16:00:40,95
16:00:41,94
16:00:43,93
16:00:45,92
16:00:48,92
16:00:49,93
16:00:52,93
16:00:53,92
16:00:56,92
16:00:59,92
16:01:02,92
16:01:05,92
16:01:08,92
16:01:11,93
16:01:12,93
16:01:15,94
16:01:18,93
16:01:19,94
16:01:22,94
16:01:24,95
16:01:27,95
16:01:30,95
16:01:32,96
16:01:35,96
16:01:36,97
16:01:39,98
16:01:41,99
16:01:43,100
16:01:44,102
16:01:45,105
16:01:48,106
16:01:49,107
16:01:52,106
16:01:53,105
16:01:55,104
16:01:56,105
16:01:57,106
16:01:58,108
16:01:59,110
16:02:00,112
16:02:01,113
16:02:02,114
16:02:05,114
16:02:08,114
16:02:11,114
16:02:12,113
16:02:14,112
16:02:15,111
16:02:18,111
16:02:21,111
16:02:22,110
16:02:23,108
16:02:24,107
16:02:25,106
16:02:27,105
16:02:29,104
16:02:30,105
16:02:32,106
16:02:35,107
16:02:38,107
16:02:39,106
16:02:42,106
16:02:45,106
16:02:48,106
16:02:51,106
16:02:54,106
16:02:55,108
16:02:56,109
16:02:57,110
16:02:58,109
16:03:01,108
16:03:04,108
16:03:06,107
16:03:09,105
16:03:10,105
16:03:13,105
16:03:16,104
16:03:18,105
16:03:19,105
16:03:22,105
16:03:25,106
16:03:28,107
16:03:31,107
16:03:32,106
16:03:35,106
16:03:38,106
16:03:41,106
16:03:44,106
16:03:47,106
16:03:50,109
16:03:52,110
16:03:55,109
16:03:57,108
16:03:58,107
16:03:59,106
16:04:00,106
16:04:01,105
16:04:03,104
16:04:04,103
16:04:05,101
16:04:07,100
16:04:08,101
16:04:11,100
16:04:12,99
16:04:13,98
16:04:16,97
16:04:18,96
16:04:19,97
16:04:22,97
16:04:23,98
16:04:26,99
16:04:29,99
16:04:32,99
16:04:34,100
16:04:37,101
16:04:40,101
16:04:43,101
16:04:46,101
16:04:49,101
16:04:51,102
16:04:54,102
16:04:57,101
16:04:58,100
16:04:59,99
16:05:02,99
16:05:03,98
16:05:04,97
16:05:06,98
16:05:07,99
16:05:10,99
16:05:11,98
16:05:13,97
16:05:14,96
16:05:16,95
16:05:19,94
16:05:20,95
16:05:21,96
16:05:22,97
16:05:23,98
16:05:26,98
16:05:29,97
16:05:30,98
16:05:33,98
16:05:34,97
16:05:35,96
16:05:38,96
16:05:41,95
16:05:44,95
16:05:47,96
16:05:48,96
16:05:51,96
16:05:54,96
16:05:56,97
16:05:59,97
16:06:00,96
16:06:03,96
16:06:06,96
