Time,Heart Rate
08:34:22,70
08:34:25,70
08:34:28,70
08:34:31,70
08:34:32,80
08:34:33,91
08:34:35,91
08:34:36,94
08:34:37,104
08:34:38,116
08:34:41,116
08:34:42,115
08:34:43,114
08:34:44,107
08:34:45,106
08:34:46,104
08:34:47,102
08:34:50,103
08:34:51,102
08:34:54,103
08:34:56,104
08:34:57,105
08:35:00,104
08:35:01,104
08:35:02,103
08:35:03,102
08:35:04,101
08:35:05,100
08:35:06,99
08:35:08,98
08:35:11,98
08:35:14,97
08:35:16,97
08:35:17,96
08:35:20,97
08:35:22,96
08:35:25,96
08:35:28,96
08:35:31,96
08:35:34,97
08:35:37,97
08:35:40,97
08:35:43,97
08:35:46,97
08:35:49,97
08:35:52,97
08:35:55,97
08:35:58,97
08:36:00,96
08:36:02,97
08:36:03,97
08:36:05,98
08:36:07,99
08:36:10,99
08:36:12,98
08:36:15,98
08:36:18,98
08:36:21,98
08:36:22,98
08:36:25,98
08:36:28,97
08:36:31,97
08:36:34,97
08:36:35,98
08:36:38,98
08:36:41,98
08:36:44,98
08:36:47,98
08:36:50,98
08:36:53,98
08:36:56,98
08:36:59,98
08:37:02,98
08:37:04,98
08:37:07,98
08:37:10,98
08:37:13,98
08:37:14,98
08:37:15,98
08:37:18,98
08:37:21,99
08:37:24,99
08:37:26,100
08:37:28,101
08:37:31,101
08:37:34,101
08:37:37,101
08:37:40,101
08:37:43,101
08:37:46,101
08:37:49,101
08:37:51,102
08:37:52,102
08:37:55,102
08:37:56,103
08:37:58,103
08:37:59,102
08:38:00,103
08:38:03,103
08:38:05,103
08:38:08,103
08:38:11,103
08:38:14,103
08:38:17,103
08:38:18,103
08:38:21,103
08:38:24,103
08:38:27,103
08:38:28,103
08:38:31,103
08:38:34,103
08:38:37,103
08:38:40,103
08:38:43,103
08:38:46,103
08:38:48,102
08:38:51,102
08:38:54,102
08:38:57,102
08:39:00,102
08:39:03,102
08:39:06,102
08:39:09,102
08:39:12,102
08:39:15,102
08:39:18,102
08:39:19,101
08:39:20,100
08:39:23,99
08:39:26,99
08:39:29,99
08:39:30,99
08:39:32,99
08:39:35,99
08:39:38,99
08:39:41,99
08:39:44,99
08:39:47,99
08:39:50,99
08:39:53,99
08:39:56,99
08:39:57,99
08:39:58,100
08:40:01,100
08:40:04,100
08:40:07,100
08:40:10,100
08:40:13,100
08:40:16,100
08:40:19,100
08:40:22,100
08:40:24,101
08:40:27,101
08:40:28,102
08:40:29,103
08:40:31,104
08:40:32,105
08:40:35,104
08:40:36,104
08:40:38,105
08:40:39,106
08:40:42,106
08:40:43,107
08:40:44,108
08:40:47,108
08:40:49,107
08:40:52,107
08:40:55,107
08:40:58,108
08:41:01,108
08:41:03,107
08:41:06,107
08:41:09,107
08:41:10,106
08:41:12,107
08:41:14,108
08:41:16,109
08:41:19,110
08:41:21,111
08:41:24,111
08:41:27,111
08:41:30,111
08:41:33,111
08:41:36,110
08:41:37,109
08:41:38,108
08:41:40,107
08:41:42,108
08:41:43,109
08:41:45,110
08:41:46,109
08:41:49,109
08:41:52,109
08:41:53,111
08:41:54,113
08:41:55,115
08:41:56,117
08:41:57,119
08:41:58,121
08:41:59,122
08:42:00,123
08:42:03,123
08:42:06,122
08:42:08,121
08:42:11,121
08:42:14,121
08:42:17,121
08:42:20,120
08:42:21,119
08:42:24,119
08:42:25,119
08:42:27,118
08:42:28,118
08:42:31,118
08:42:34,118
08:42:37,118
08:42:39,117
08:42:41,116
08:42:44,116
08:42:45,119
08:42:46,118
08:42:47,117
08:42:48,116
08:42:49,115
08:42:50,114
08:42:52,113
08:42:55,113
08:42:58,113
08:43:01,113
08:43:03,114
08:43:06,115
08:43:08,116
08:43:10,117
08:43:11,118
08:43:14,119
08:43:17,119
08:43:19,118
08:43:20,117
08:43:22,116
08:43:23,116
08:43:26,116
08:43:28,117
08:43:29,115
08:43:30,113
08:43:31,111
08:43:32,110
08:43:35,109
08:43:37,110
08:43:38,111
08:43:39,112
08:43:40,112
08:43:41,113
08:43:42,112
08:43:44,113
08:43:45,114
08:43:47,115
08:43:49,116
08:43:52,116
08:43:55,116
08:43:56,115
08:43:57,114
08:43:58,113
08:43:59,112
08:44:00,111
08:44:01,110
08:44:02,109
08:44:03,109
08:44:06,109
08:44:09,109
08:44:12,109
08:44:15,109
08:44:16,108
08:44:17,107
08:44:19,106
08:44:20,105
08:44:22,104
08:44:24,103
08:44:25,102
08:44:26,101
08:44:29,101
08:44:32,102
08:44:33,103
08:44:36,103
08:44:39,103
08:44:42,103
08:44:45,103
08:44:48,104
08:44:49,105
08:44:50,106
08:44:53,106
08:44:55,107
08:44:58,107
08:45:01,107
08:45:02,107
08:45:04,108
08:45:06,109
08:45:07,110
08:45:09,111
08:45:11,110
08:45:13,109
08:45:15,109
08:45:17,107
08:45:20,107
08:45:23,107
08:45:24,107
08:45:27,107
08:45:30,107
08:45:33,107
08:45:36,107
08:45:39,107
08:45:42,107
08:45:45,107
08:45:48,107
08:45:49,107
08:45:50,107
08:45:53,107
08:45:56,107
08:45:59,107
08:46:02,107
08:46:05,107
08:46:06,107
08:46:09,107
08:46:12,106
08:46:13,104
08:46:14,103
08:46:17,103
08:46:20,103
08:46:23,103
08:46:26,103
08:46:29,103
08:46:32,103
08:46:35,103
08:46:38,103
08:46:41,103
08:46:44,103
08:46:47,103
08:46:50,103
08:46:53,103
08:46:54,102
08:46:56,103
08:46:59,103
08:47:02,103
08:47:05,102
08:47:06,101
08:47:07,99
08:47:08,97
08:47:11,97
08:47:12,97
08:47:15,97
08:47:17,98
08:47:18,99
08:47:19,101
08:47:20,102
08:47:23,102
08:47:26,102
08:47:29,102
08:47:32,102
08:47:35,102
08:47:38,102
08:47:41,102
08:47:44,102
08:47:47,102
08:47:49,102
08:47:52,102
08:47:55,101
08:47:56,99
08:47:59,99
08:48:02,99
08:48:05,99
08:48:08,99
08:48:11,99
08:48:14,99
08:48:16,100
08:48:17,101
08:48:18,102
08:48:21,102
08:48:24,102
08:48:27,102
08:48:30,102
08:48:33,102
08:48:36,102
08:48:39,102
08:48:42,104
08:48:43,105
08:48:44,107
08:48:45,106
08:48:46,105
08:48:47,103
08:48:48,102
08:48:49,101
08:48:50,99
08:48:51,98
08:48:54,98
08:48:57,98
08:49:00,98
08:49:03,98
08:49:06,98
08:49:09,98
08:49:12,98
08:49:15,98
08:49:17,97
08:49:18,96
08:49:19,95
08:49:21,94
08:49:24,94
08:49:25,94
08:49:26,95
08:49:28,94
08:49:31,94
08:49:34,94
08:49:37,94
08:49:40,94
08:49:43,94
08:49:46,94
08:49:49,94
08:49:52,94
08:49:55,94
08:49:58,94
08:50:01,94
08:50:04,94
08:50:07,94
08:50:10,94
08:50:13,94
08:50:16,94
08:50:19,94
08:50:21,94
08:50:24,94
08:50:27,94
08:50:28,94
08:50:31,94
08:50:34,94
08:50:35,94
08:50:38,94
08:50:40,95
08:50:43,95
08:50:46,95
08:50:47,96
08:50:48,97
08:50:49,97
08:50:50,98
08:50:51,98
08:50:52,98
08:50:53,98
08:50:56,98
08:50:59,98
08:51:02,98
08:51:05,98
08:51:08,98
08:51:11,98
08:51:12,99
08:51:14,100
08:51:16,101
08:51:19,102
08:51:22,102
08:51:24,102
08:51:25,102
08:51:28,102
08:51:31,102
08:51:34,102
08:51:37,102
08:51:40,102
08:51:43,102
08:51:46,102
08:51:49,102
08:51:52,101
08:51:55,101
08:51:58,101
08:52:01,101
08:52:04,101
08:52:07,101
08:52:10,101
08:52:13,101
08:52:16,101
08:52:17,102
08:52:20,102
08:52:23,102
08:52:26,102
08:52:29,102
08:52:32,102
08:52:34,101
08:52:37,101
08:52:39,101
08:52:40,101
08:52:43,101
08:52:46,101
08:52:49,101
08:52:52,101
08:52:55,101
08:52:57,101
08:53:00,101
08:53:03,101
08:53:06,101
08:53:09,101
08:53:12,101
08:53:15,101
08:53:17,100
08:53:18,99
08:53:21,99
08:53:24,98
08:53:25,99
08:53:28,99
08:53:31,99
08:53:32,100
08:53:35,101
08:53:38,101
08:53:41,100
08:53:44,100
08:53:47,100
08:53:48,99
08:53:49,98
08:53:51,97
08:53:52,98
08:53:55,98
08:53:56,97
08:53:57,96
08:53:58,95
08:54:01,95
08:54:04,94
08:54:05,93
08:54:06,92
08:54:09,92
08:54:11,91
08:54:14,91
08:54:17,91
08:54:20,91
08:54:21,92
08:54:24,92
08:54:27,92
08:54:30,92
08:54:33,92
08:54:36,92
08:54:39,92
08:54:42,92
08:54:45,92
08:54:48,92
08:54:51,92
08:54:52,92
08:54:55,92
08:54:58,92
08:55:01,92
08:55:04,92
08:55:06,91
08:55:07,92
08:55:09,91
08:55:10,91
08:55:12,91
08:55:13,92
08:55:16,92
08:55:19,92
08:55:22,92
08:55:25,93
08:55:28,93
08:55:30,93
08:55:33,93
08:55:36,93
08:55:37,93
08:55:39,93
08:55:41,92
08:55:42,93
08:55:43,94
08:55:45,95
08:55:48,95
08:55:51,95
08:55:52,95
08:55:55,96
08:55:57,97
08:55:59,98
08:56:02,98
08:56:05,98
08:56:06,97
