Confidence Score,Emotion,Time
33.96746063232422,CALM,20:05:00
51.5876579284668,SAD,20:10:00
39.31113052368164,SAD,20:15:00
61.02694702148438,SAD,20:20:00
39.5423698425293,ANGRY,20:25:00
36.6157341003418,ANGRY,20:30:00
60.28598022460938,ANGRY,20:35:00
33.54442596435547,ANGRY,20:40:00
50.34426498413086,ANGRY,20:45:00
45.53407287597656,SAD,20:50:00
48.69586944580078,ANGRY,20:55:00
31.60869789123535,SAD,21:00:00
30.455402374267575,CALM,21:05:00
32.91872024536133,CALM,21:10:00
36.95327758789063,SAD,21:15:00
65.93376159667969,ANGRY,21:20:00
24.048587799072266,CALM,21:25:00
26.754596710205078,ANGRY,21:30:00
48.88683319091797,SAD,21:35:00
