Confidence Score,Emotion,Time
87.1606674194336,SAD,18:25:00
81.25212097167969,CALM,18:30:00
82.9728012084961,CALM,18:35:00
23.260507583618164,CALM,18:40:00
45.4756851196289,ANGRY,18:45:00
47.06417465209961,SAD,18:50:00
45.36344528198242,CALM,18:55:00
72.93120574951172,SAD,19:00:00
27.53771209716797,CALM,19:05:00
48.98461532592773,CALM,19:10:00
70.50824737548828,CALM,19:15:00
54.72763061523438,CALM,19:20:00
26.67444038391113,CALM,19:25:00
45.27497100830078,ANGRY,19:30:00
55.06975555419922,ANGRY,19:35:00
90.22049713134766,CALM,19:40:00
47.68213272094727,CALM,21:05:00
83.7652816772461,CALM,21:10:00
84.27814483642578,CALM,21:15:00
50.07451248168945,CALM,21:20:00
86.41521453857422,SAD,21:25:00
65.85508728027344,CALM,21:30:00
86.10393524169922,CALM,21:35:00
90.15046691894531,CALM,21:40:00
75.95721435546875,SAD,21:45:00
92.33041381835938,CALM,21:50:00
92.98654174804688,CALM,21:55:00
63.62271118164063,CALM,22:00:00
