Confidence Score,Emotion,Time
53.7714958190918,ANGRY,18:55:00
90.28395080566406,ANGRY,19:00:00
96.60295104980469,ANGRY,19:05:00
92.09478759765624,ANGRY,19:10:00
90.28622436523438,ANGRY,19:15:00
90.42334747314452,ANGRY,19:20:00
94.1426010131836,ANGRY,19:25:00
99.3421401977539,ANGRY,19:30:00
96.87001037597656,ANGRY,19:35:00
97.2523422241211,ANGRY,19:40:00
98.41424560546876,ANGRY,19:45:00
96.29131317138672,ANGRY,19:50:00
99.04381561279295,ANGRY,19:55:00
96.6423568725586,ANGRY,20:00:00
71.31782531738281,SAD,20:05:00
75.23213958740234,SAD,20:10:00
64.23251342773439,SAD,20:15:00
86.1391372680664,ANGRY,20:20:00
94.8290557861328,ANGRY,20:25:00
44.63599395751953,ANGRY,20:30:00
90.43650817871094,ANGRY,20:35:00
98.7744369506836,ANGRY,20:40:00
87.31819152832031,ANGRY,20:45:00
96.25686645507812,ANGRY,20:50:00
88.43121337890625,ANGRY,20:55:00
88.8260269165039,ANGRY,21:00:00
97.58161163330078,ANGRY,21:05:00
82.75018310546875,ANGRY,21:10:00
97.19979858398438,ANGRY,21:15:00
98.55179595947266,ANGRY,21:20:00
95.89613342285156,ANGRY,21:25:00
93.3613739013672,ANGRY,21:30:00
92.78449249267578,ANGRY,21:35:00
87.6404037475586,ANGRY,21:40:00
88.54379272460938,ANGRY,21:45:00
78.64144897460938,ANGRY,21:50:00
