Confidence Score,Emotion,Time
25.76630401611328,CALM,19:35:00
37.37066650390625,CALM,19:40:00
40.5732421875,CALM,19:45:00
27.64717102050781,CALM,19:50:00
53.71249389648438,CALM,19:55:00
42.714805603027344,CALM,20:00:00
49.9097671508789,CALM,20:05:00
42.49197387695313,SAD,20:10:00
53.69721221923828,SAD,20:15:00
35.44734573364258,SAD,20:20:00
39.87862777709961,ANGRY,20:25:00
80.88897705078125,SAD,20:30:00
69.44975280761719,SAD,20:35:00
56.50503540039063,SAD,20:40:00
49.3211784362793,SAD,20:45:00
96.21080017089844,SAD,20:50:00
32.832874298095696,CALM,20:55:00
60.27513885498047,SAD,21:00:00
78.03255462646484,ANGRY,21:05:00
