Confidence Score,Emotion,Time
64.14353179931639,ANGRY,19:55:00
64.50233459472656,ANGRY,20:00:00
95.5602798461914,ANGRY,20:05:00
48.33618545532226,ANGRY,20:10:00
83.30561065673828,ANGRY,20:15:00
48.56407165527344,ANGRY,20:20:00
58.98832702636719,ANGRY,20:25:00
88.7034683227539,ANGRY,20:30:00
38.46583557128906,CALM,20:35:00
34.249832153320305,CALM,20:40:00
30.74852561950684,SAD,20:45:00
42.56957626342773,ANGRY,20:50:00
70.36322784423828,ANGRY,20:55:00
52.75278854370117,ANGRY,21:00:00
29.76193809509277,ANGRY,21:05:00
83.80962371826172,ANGRY,21:10:00
53.51735305786133,ANGRY,21:15:00
68.64704132080078,ANGRY,21:20:00
63.56303787231445,ANGRY,21:25:00
50.6507453918457,ANGRY,21:30:00
53.51960754394531,ANGRY,21:35:00
71.98529815673828,ANGRY,21:40:00
75.97285461425781,ANGRY,21:45:00
75.8299331665039,ANGRY,21:50:00
