Confidence Score,Emotion,Time
95.2777862548828,ANGRY,18:40:00
82.22980499267578,ANGRY,18:45:00
83.73776245117188,ANGRY,18:50:00
87.00963592529297,ANGRY,18:55:00
92.3996353149414,ANGRY,19:00:00
96.85353088378906,ANGRY,19:05:00
86.61392211914062,ANGRY,19:10:00
80.15966033935547,ANGRY,19:15:00
71.11863708496094,ANGRY,19:20:00
76.0228042602539,ANGRY,19:25:00
92.16217803955078,ANGRY,19:30:00
75.55842590332031,ANGRY,19:35:00
66.57936859130861,ANGRY,19:40:00
87.4694595336914,ANGRY,19:45:00
90.40251922607422,ANGRY,19:50:00
90.6284408569336,ANGRY,19:55:00
97.5819854736328,ANGRY,20:00:00
81.1117935180664,ANGRY,20:05:00
