Confidence Score,Emotion,Time
43.90120697021485,ANGRY,19:05:00
27.848344802856445,SAD,19:10:00
41.09330749511719,CALM,19:15:00
43.2880973815918,SAD,19:20:00
53.77225112915039,SAD,19:25:00
53.57183074951172,ANGRY,19:30:00
52.02359390258789,ANGRY,19:35:00
19.53407096862793,SAD,19:40:00
80.68085479736328,ANGRY,19:45:00
83.51812744140625,SAD,19:50:00
33.488868713378906,ANGRY,19:55:00
88.25191497802734,SAD,20:00:00
54.22370910644531,SAD,20:05:00
31.31201934814453,ANGRY,20:10:00
51.50345993041992,CALM,20:15:00
50.895545959472656,ANGRY,20:20:00
48.18601608276367,CALM,20:25:00
58.28872299194336,SAD,20:30:00
92.83226013183594,SAD,20:35:00
47.475341796875,SAD,20:40:00
59.51325225830078,SAD,20:45:00
68.53974914550781,ANGRY,20:50:00
39.44195938110352,ANGRY,20:55:00
37.3214225769043,SAD,21:00:00
50.15066146850586,SAD,21:05:00
37.72507858276367,CALM,21:10:00
68.92151641845703,SAD,21:15:00
50.53980255126953,SAD,21:20:00
42.15986251831055,ANGRY,21:25:00
