Confidence Score,Emotion,Time
43.43241500854492,ANGRY,18:00:00
67.65659332275389,ANGRY,18:05:00
96.02490997314452,ANGRY,18:10:00
94.03038024902344,ANGRY,18:15:00
95.40958404541016,ANGRY,18:20:00
54.90147399902344,ANGRY,18:25:00
91.32386779785156,ANGRY,18:30:00
90.90912628173828,ANGRY,18:35:00
60.40043640136719,ANGRY,18:40:00
81.9427719116211,ANGRY,18:45:00
97.43807983398438,ANGRY,18:50:00
98.2068862915039,ANGRY,18:55:00
98.20652770996094,ANGRY,19:00:00
97.3621063232422,ANGRY,19:05:00
99.57317352294922,ANGRY,19:10:00
99.51295471191406,ANGRY,19:15:00
78.62449645996094,ANGRY,19:20:00
97.6840362548828,ANGRY,19:25:00
99.3275909423828,ANGRY,19:30:00
91.29002380371094,ANGRY,19:35:00
99.50994873046876,ANGRY,19:40:00
99.32154083251952,ANGRY,19:45:00
99.526611328125,ANGRY,19:50:00
82.28660583496094,ANGRY,19:55:00
78.22929382324219,ANGRY,20:00:00
98.97396087646484,ANGRY,20:05:00
95.4400634765625,ANGRY,20:10:00
